Gene1,Gene2,Score
NOTCH1,HEXA,133.0
NOTCH1,CYC1,133.0
NOTCH1,H2AFY,132.0
NOTCH1,GBP4,132.0
NOTCH1,UGCG,131.0
NOTCH1,STX17,131.0
NOTCH1,NSUN2,131.0
NOTCH1,JAM3,131.0
NOTCH1,ZFP160,130.0
NOTCH1,PCYT2,130.0
NOTCH1,AURKB,130.0
NOTCH1,OCLN,129.0
NOTCH1,LAP3,129.0
NOTCH1,ERCC4,129.0
NOTCH1,ATPIF1,128.0
NOTCH1,TMEM186,127.0
NOTCH1,SENP8,127.0
NOTCH1,JAK2,127.0
NOTCH1,ATP13A1,127.0
NOTCH1,ADD2,127.0
NOTCH1,ZFP37,125.0
NOTCH1,RHOJ,125.0
NOTCH1,RARB,125.0
NOTCH1,PKIB,125.0
NOTCH1,IL15,125.0
NOTCH1,FAM189B,125.0
NOTCH1,CPQ,125.0
NOTCH1,TOLLIP,124.0
NOTCH1,KCNG1,124.0
NOTCH1,CTSH,124.0
NOTCH1,COPB1,124.0
NOTCH1,RRAD,123.0
NOTCH1,RHOH,123.0
NOTCH1,PSAT1,123.0
NOTCH1,PPIC,123.0
NOTCH1,MTUS1,123.0
NOTCH1,ABCD3,123.0
NOTCH1,VPS26B,122.0
NOTCH1,SH2D4A,122.0
NOTCH1,IRF8,122.0
NOTCH1,TAB3,121.0
NOTCH1,EIF3G,121.0
NOTCH1,PTPRE,120.0
NOTCH1,GPR107,120.0
NOTCH1,PRDX3,119.0
NOTCH1,CAMK1,119.0
NOTCH1,ASAH1,119.0
NOTCH1,RFESD,118.0
NOTCH1,FKBP1A,118.0
NOTCH1,EPB41L4B,118.0
NOTCH1,TRIM10,117.0
NOTCH1,SRGAP3,117.0
NOTCH1,PNO1,117.0
NOTCH1,LANCL2,117.0
NOTCH1,HCK,117.0
NOTCH1,GPX1,117.0
NOTCH1,GATM,117.0
NOTCH1,SORT1,116.0
NOTCH1,POGLUT1,116.0
NOTCH1,METAP1D,116.0
NOTCH1,CCNE1,116.0
NOTCH1,TRIQK,115.0
NOTCH1,SNCA,115.0
NOTCH1,PRDM5,115.0
NOTCH1,PLEKHG1,115.0
NOTCH1,MAPK8IP3,115.0
NOTCH1,JAM2,115.0
NOTCH1,ACSL5,115.0
NOTCH1,ABCF3,115.0
NOTCH1,TENT5A,114.0
NOTCH1,TCF12,114.0
NOTCH1,SLC18A1,114.0
NOTCH1,INTS11,114.0
NOTCH1,CPTP,114.0
NOTCH1,ST6GALNAC3,113.0
NOTCH1,MARVELD1,113.0
NOTCH1,ACSS1,113.0
NOTCH1,ATP6AP1,112.0
NOTCH1,SETD2,111.0
NOTCH1,MAML2,111.0
NOTCH1,FLT3,111.0
NOTCH1,ECE1,111.0
NOTCH1,ARHGAP25,111.0
NOTCH1,TRIM16,110.0
NOTCH1,THA1,110.0
NOTCH1,MYO5C,110.0
NOTCH1,KIF3B,110.0
NOTCH1,ABR,110.0
NOTCH1,TM6SF1,109.0
NOTCH1,KIF20B,109.0
NOTCH1,CREB5,109.0
NOTCH1,SLC26A2,108.0
NOTCH1,CCNB1,108.0
NOTCH1,HIF3A,107.0
NOTCH1,FECH,107.0
NOTCH1,ADAM22,107.0
NOTCH1,PLXDC2,106.0
NOTCH1,B4GALT6,106.0
NOTCH1,USP4,105.0
NOTCH1,TMEM177,105.0
NOTCH1,STK17B,105.0
NOTCH1,SMPDL3A,105.0
NOTCH1,SLC25A21,105.0
NOTCH1,PKIA,105.0
NOTCH1,LRPAP1,105.0
NOTCH1,INPP1,105.0
NOTCH1,GAS6,105.0
NOTCH1,ANXA5,105.0
NOTCH1,TM9SF2,104.0
NOTCH1,SHCBP1,104.0
NOTCH1,KNL1,104.0
NOTCH1,NLRC3,103.0
NOTCH1,GSTM5,103.0
NOTCH1,ANXA4,103.0
NOTCH1,RASSF2,102.0
NOTCH1,HSDL1,102.0
NOTCH1,CYP4V3,102.0
NOTCH1,APLP2,102.0
NOTCH1,RNF19A,101.0
NOTCH1,RAB11FIP3,101.0
NOTCH1,CSGALNACT1,101.0
NOTCH1,PDGFRB,185.0
NOTCH1,IL12A,175.0
NOTCH1,CDKN1A,171.0
NOTCH1,CCND3,169.0
NOTCH1,CDKN1C,167.0
RAD51,SPTBN1,643.0
RAD51,NEK6,665.0
RAD51,CLCN4,337.0
RAD51,ALDH1A7,282.0
RAD51,OSTM1,155.0
RAD51,OASL1,212.0
RAD51,FCER1G,285.0
RAD51,ZFP961,240.0
RAD51,CHAMP1,161.0
RAD51,CD1D1,280.0
RAD51,NRF1,407.0
RAD51,DUT,223.0
RAD51,SACM1L,148.0
RAD51,CYFIP2,344.0
RAD51,SLC39A13,328.0
RAD51,RUSC2,209.0
RAD51,HDGF,115.0
RAD51,DDOST,274.0
RAD51,IFI203,141.0
RAD51,TNFRSF26,117.0
RAD51,DUS1L,209.0
RAD51,TM4SF1,185.0
RAD51,SLC25A38,183.0
RAD51,BGN,175.0
RAD51,DCP1A,168.0
RAD51,CCL3,154.0
RAD51,CHORDC1,152.0
RAD51,WDR36,143.0
RAD51,UQCRC1,143.0
RAD51,DPY19L4,143.0
RAD51,CCT6A,141.0
RAD51,GTF3C3,134.0
RAD51,SLC39A6,133.0
RAD51,ELP2,133.0
RAD51,CLEC1A,132.0
RAD51,CACYBP,125.0
RAD51,2310057M21RIK,125.0
RAD51,DLST,116.0
RAD51,UROS,108.0
RAD51,ZMAT1,107.0
RAD51,ITFG1,107.0
RAD51,HSPA5,104.0
SATB1,HJURP,2017.0
SATB1,SPRYD4,1983.0
SATB1,PTPN22,1076.0
SATB1,RPL41,1720.0
SATB1,CLTC,1042.0
SATB1,SSH2,821.0
SATB1,STAT3,874.0
SATB1,DCP1A,845.0
SATB1,DDX20,670.0
SATB1,ARHGAP15,1427.0
SATB1,CAPG,1297.0
SATB1,UBA5,1070.0
SATB1,ARMT1,611.0
SATB1,SMARCA2,1072.0
SATB1,RNF145,895.0
SATB1,TESPA1,801.0
SATB1,SUPT7L,789.0
SATB1,CARD6,637.0
SATB1,ATG16L1,820.0
SATB1,LCK,1024.0
SATB1,ARPP21,1178.0
SATB1,DHRS3,1506.0
SATB1,SPTY2D1,767.0
SATB1,PSMC4,1756.0
SATB1,DOCK10,716.0
SATB1,NUF2,692.0
SATB1,KIDINS220,781.0
SATB1,AP1M1,508.0
SATB1,TOX4,492.0
SATB1,CHORDC1,673.0
SATB1,FARSB,801.0
SATB1,EIF1AD,911.0
SATB1,SLC9A9,837.0
SATB1,TES,778.0
SATB1,CCNG2,968.0
SATB1,RAD51AP1,835.0
SATB1,MIS18BP1,512.0
SATB1,PSMD1,472.0
SATB1,PSMD3,647.0
SATB1,ICOS,510.0
SATB1,MSH6,571.0
SATB1,WDR75,544.0
SATB1,GALK2,534.0
SATB1,GUCD1,471.0
SATB1,RMND5B,746.0
SATB1,SAMD9L,1098.0
SATB1,ZFP658,599.0
SATB1,KNL1,781.0
SATB1,DUS1L,725.0
SATB1,HSPA4,691.0
SATB1,HEMGN,598.0
SATB1,NT5C3,665.0
SATB1,MTMR6,456.0
SATB1,EIF2S1,557.0
SATB1,MTREX,832.0
SATB1,SF3B3,409.0
SATB1,HSD11B1,457.0
SATB1,BTLA,707.0
SATB1,SHCBP1,963.0
SATB1,SPATA13,972.0
SATB1,TOX,491.0
SATB1,ADAMTS10,576.0
SATB1,NFAT5,550.0
SATB1,LCP2,1263.0
SATB1,SNRNP200,571.0
SATB1,UBOX5,777.0
SATB1,GBP4,671.0
SATB1,SLC2A3,634.0
SATB1,STAP1,644.0
SATB1,CLEC12A,2128.0
SATB1,CTSE,577.0
SATB1,LAX1,597.0
SATB1,TMC6,414.0
SATB1,RANGAP1,418.0
SATB1,ATL2,445.0
SATB1,TRIM30A,747.0
SATB1,PAFAH2,580.0
SATB1,BLZF1,739.0
SATB1,CNOT10,388.0
SATB1,SLC25A38,739.0
SATB1,SPTBN1,671.0
SATB1,SLC39A13,679.0
SATB1,SAMSN1,876.0
SATB1,MAD2L1,430.0
SATB1,TMEM229B,569.0
SATB1,CAST,764.0
SATB1,COPG1,537.0
SATB1,IDH1,769.0
SATB1,INTS4,545.0
SATB1,VPS33B,456.0
SATB1,DOCK2,564.0
SATB1,CMAH,389.0
SATB1,PIGO,356.0
SATB1,RASSF5,418.0
SATB1,ACAP1,390.0
SATB1,HACD3,502.0
SATB1,XRCC5,581.0
SATB1,DUSP6,472.0
SATB1,A130010J15RIK,369.0
SATB1,SNRPB,897.0
SATB1,GALNT6,619.0
SATB1,ARAP1,459.0
SATB1,ERLIN2,576.0
SATB1,CENPA,569.0
SATB1,RUVBL2,400.0
SATB1,GYS1,400.0
SATB1,NDUFS1,427.0
SATB1,RAB18,631.0
SATB1,ARHGDIB,479.0
SATB1,MYNN,426.0
SATB1,SRSF1,389.0
SATB1,KLHL24,916.0
SATB1,TOP3B,549.0
SATB1,SUMF1,894.0
SATB1,SCFD1,773.0
SATB1,REXO4,391.0
SATB1,LY9,366.0
SATB1,ACOX3,539.0
SATB1,ZFP35,419.0
SATB1,EDRF1,569.0
SATB1,PGLYRP2,426.0
SATB1,CLCN4,354.0
SATB1,CNR2,611.0
SATB1,RPS27L,299.0
SATB1,NECAP2,393.0
SATB1,MGAT1,493.0
SATB1,ZFP62,734.0
SATB1,PON2,441.0
SATB1,RPTOR,356.0
SATB1,PTPRC,896.0
SATB1,CENPO,439.0
SATB1,TMUB2,419.0
SATB1,MFSD8,382.0
SATB1,TRMT12,676.0
SATB1,COX7A2,469.0
SATB1,EIF3B,342.0
SATB1,KDM8,380.0
SATB1,CNP,543.0
SATB1,TIMM29,283.0
SATB1,CCT8,455.0
SATB1,SEC23IP,524.0
SATB1,ADK,485.0
SATB1,TAB1,398.0
SATB1,ALDH18A1,444.0
SATB1,PXYLP1,345.0
SATB1,PRMT5,446.0
SATB1,TOMM40,716.0
SATB1,NUDT9,340.0
SATB1,ZBTB40,445.0
SATB1,INO80D,368.0
SATB1,1110008L16RIK,430.0
SATB1,TARS,550.0
SATB1,UROD,366.0
SATB1,HECTD3,366.0
SATB1,ATG16L2,315.0
SATB1,METTL7A1,572.0
SATB1,CALU,486.0
SATB1,RNASEL,412.0
SATB1,GPR18,532.0
SATB1,ALKBH8,418.0
SATB1,FAM102B,581.0
SATB1,RASAL3,404.0
SATB1,ECT2,342.0
SATB1,LAPTM5,496.0
SATB1,METTL25,280.0
SATB1,NAA35,526.0
SATB1,FCHSD2,436.0
SATB1,RCOR1,372.0
SATB1,PARP3,422.0
SATB1,NDUFA10,496.0
SATB1,LIMD2,495.0
SATB1,DNPEP,391.0
SATB1,DCAF13,594.0
SATB1,LMBRD1,340.0
SATB1,OTUD6B,559.0
SATB1,LRRC59,341.0
SATB1,ITGAL,367.0
SATB1,FEM1B,321.0
SATB1,PKM,354.0
SATB1,ZFP160,524.0
SATB1,ZFP143,317.0
SATB1,GMFB,431.0
SATB1,EPS15,378.0
SATB1,GBP9,385.0
SATB1,SUPV3L1,373.0
SATB1,ABHD17B,443.0
SATB1,PIK3C3,809.0
SATB1,AP5M1,368.0
SATB1,MORC3,529.0
SATB1,DPP8,346.0
SATB1,RGS18,1636.0
SATB1,NIF3L1,245.0
SATB1,TMEM123,255.0
SATB1,OASL1,389.0
SATB1,CLPX,489.0
SATB1,NSUN2,327.0
SATB1,GFI1,319.0
SATB1,OASL2,303.0
SATB1,POLR3F,371.0
SATB1,DHX33,283.0
SATB1,ENDOD1,790.0
SATB1,TOMM22,368.0
SATB1,F13A1,490.0
SATB1,NAA50,257.0
SATB1,PPP6C,281.0
SATB1,CBX5,317.0
SATB1,ZFP445,323.0
SATB1,MCM7,368.0
SATB1,DNAJC11,265.0
SATB1,PHF5A,342.0
SATB1,GBP3,277.0
SATB1,UBE2G2,368.0
SATB1,UQCRC1,663.0
SATB1,TSPAN14,580.0
SATB1,TRMT2A,246.0
SATB1,RANBP1,246.0
SATB1,PNO1,353.0
SATB1,CACYBP,296.0
SATB1,IRF9,318.0
SATB1,CAMSAP2,505.0
SATB1,TMX3,470.0
SATB1,USF3,404.0
SATB1,CEP70,644.0
SATB1,TRPV2,412.0
SATB1,DPY19L4,292.0
SATB1,MARS,248.0
SATB1,SMC2,399.0
SATB1,DOP1B,308.0
SATB1,AHCTF1,375.0
SATB1,PTPRE,337.0
SATB1,NCEH1,362.0
SATB1,CKS2,708.0
SATB1,RRAS,610.0
SATB1,STXBP3,544.0
SATB1,CD274,277.0
SATB1,TBCD,275.0
SATB1,PICALM,522.0
SATB1,C330018D20RIK,887.0
SATB1,RPN1,653.0
SATB1,GPRASP1,346.0
SATB1,ORC5,303.0
SATB1,CCR7,319.0
SATB1,TTF1,559.0
SATB1,ACSS1,341.0
SATB1,EVI2A,319.0
SATB1,GM2A,380.0
SATB1,COLGALT1,368.0
SATB1,PDLIM5,332.0
SATB1,DEF8,260.0
SATB1,COX6B1,462.0
SATB1,RHOT1,326.0
SATB1,NDRG3,317.0
SATB1,LARS2,265.0
SATB1,BYSL,338.0
SATB1,NT5C2,431.0
SATB1,TNFAIP8,298.0
SATB1,METTL8,247.0
SATB1,PSMF1,316.0
SATB1,FKBP1A,525.0
SATB1,MLLT3,333.0
SATB1,ICE1,403.0
SATB1,ELOVL5,524.0
SATB1,EYA2,271.0
SATB1,CCT6A,323.0
SATB1,EPRS,318.0
SATB1,POR,245.0
SATB1,HSPA9,296.0
SATB1,TMEM129,384.0
SATB1,TACC3,384.0
SATB1,CPT2,454.0
SATB1,PLA2G15,317.0
SATB1,CS,290.0
SATB1,VPS11,718.0
SATB1,ATP7B,314.0
SATB1,ALG11,314.0
SATB1,CCNA2,449.0
SATB1,DRAM2,422.0
SATB1,CEPT1,422.0
SATB1,ATAD2,356.0
SATB1,SEC23A,308.0
SATB1,THA1,374.0
SATB1,GBP8,451.0
SATB1,ABI1,865.0
SATB1,DENND1C,268.0
SATB1,PLEKHO2,356.0
SATB1,G2E3,512.0
SATB1,PLIN3,229.0
SATB1,FAM136A,250.0
SATB1,FEM1A,707.0
SATB1,MON2,361.0
SATB1,KIF20B,486.0
SATB1,GIMAP6,232.0
SATB1,IMMT,339.0
SATB1,SMIM13,320.0
SATB1,CIPC,331.0
SATB1,WDR36,312.0
SATB1,KAT7,297.0
SATB1,MRPL20,269.0
SATB1,RAD21,564.0
SATB1,TTC21B,476.0
SATB1,KLHL6,355.0
SATB1,CLPTM1L,342.0
SATB1,ABCB8,439.0
SATB1,PRPF4,226.0
SATB1,RABIF,410.0
SATB1,PSMD7,531.0
SATB1,API5,337.0
SATB1,FAM45A,403.0
SATB1,CAMK2D,237.0
SATB1,FBXL4,376.0
SATB1,ZSCAN12,628.0
SATB1,IFRD2,316.0
SATB1,CHCHD2,288.0
SATB1,AHCYL1,291.0
SATB1,FAM214A,231.0
SATB1,MIEF1,395.0
SATB1,FOXRED1,433.0
SATB1,RAB11FIP3,649.0
SATB1,XPC,260.0
SATB1,BIRC5,286.0
SATB1,LYSMD3,287.0
SATB1,MGST3,500.0
SATB1,VPS26C,262.0
SATB1,UAP1,338.0
SATB1,TBC1D9B,569.0
SATB1,PSMD6,203.0
SATB1,UBA3,423.0
SATB1,KIF11,297.0
SATB1,GBE1,411.0
SATB1,EIF5A,282.0
SATB1,CDK17,295.0
SATB1,TMEM173,448.0
SATB1,VARS,340.0
SATB1,CLCN3,333.0
SATB1,NABP1,351.0
SATB1,USP15,261.0
SATB1,SLC27A1,311.0
SATB1,ESYT2,239.0
SATB1,NMT2,337.0
SATB1,E2F4,301.0
SATB1,USP48,363.0
SATB1,TCF12,272.0
SATB1,TCP11L2,263.0
SATB1,HSPE1,302.0
SATB1,HSPD1,302.0
SATB1,PPID,220.0
SATB1,PSAP,442.0
SATB1,NFXL1,334.0
SATB1,PIK3R2,292.0
SATB1,DGKA,541.0
SATB1,SLC14A1,449.0
SATB1,NUS1,338.0
SATB1,TECPR1,269.0
SATB1,CRBN,307.0
SATB1,TNPO1,259.0
SATB1,ARL8B,354.0
SATB1,TMEM184C,420.0
SATB1,USP32,281.0
SATB1,RNF115,264.0
SATB1,ARID5A,227.0
SATB1,TASP1,630.0
SATB1,SH3BP5,291.0
SATB1,YPEL3,383.0
SATB1,TBC1D10C,272.0
SATB1,HSPH1,490.0
SATB1,TBXA2R,312.0
SATB1,DOK2,304.0
SATB1,FASTKD2,247.0
SATB1,ABTB1,240.0
SATB1,ATP5G3,286.0
SATB1,NAPG,414.0
SATB1,ZBTB20,326.0
SATB1,CDK19,263.0
SATB1,HARS2,257.0
SATB1,HARS,257.0
SATB1,OSBPL8,235.0
SATB1,TPX2,760.0
SATB1,ZDHHC6,356.0
SATB1,PPAT,193.0
SATB1,RRM1,252.0
SATB1,GFM1,346.0
SATB1,PSMC2,350.0
SATB1,SMPD1,411.0
SATB1,ATP2A3,265.0
SATB1,PPP1R15A,316.0
SATB1,ZFP7,395.0
SATB1,LGALS3BP,553.0
SATB1,RBM33,257.0
SATB1,NEDD1,403.0
SATB1,PLD3,272.0
SATB1,RBSN,230.0
SATB1,RCBTB1,244.0
SATB1,DDOST,253.0
SATB1,KIF2C,313.0
SATB1,PSTPIP1,226.0
SATB1,CSTF2,372.0
SATB1,CD1D1,242.0
SATB1,MDN1,406.0
SATB1,WDR43,281.0
SATB1,FBXO34,334.0
SATB1,SYDE1,360.0
SATB1,CALCRL,352.0
SATB1,ADO,253.0
SATB1,SCRN3,424.0
SATB1,PDE4B,288.0
SATB1,DTL,212.0
SATB1,GPR65,323.0
SATB1,BCLAF3,283.0
SATB1,UBR1,345.0
SATB1,CDK1,614.0
SATB1,CAMK1D,242.0
SATB1,RLF,272.0
SATB1,PLD4,1226.0
SATB1,EFTUD2,317.0
SATB1,RFESD,310.0
SATB1,DPH6,266.0
SATB1,SELPLG,350.0
SATB1,KIF3B,223.0
SATB1,FIGNL1,214.0
SATB1,PLPP1,1144.0
SATB1,POLE3,377.0
SATB1,TEX10,276.0
SATB1,GTF3C3,337.0
SATB1,GTF2F1,347.0
SATB1,ANXA5,290.0
SATB1,GPR171,205.0
SATB1,UBE2CBP,240.0
SATB1,ADSL,231.0
SATB1,RDH10,535.0
SATB1,NUDCD3,230.0
SATB1,FKTN,730.0
SATB1,CCT2,577.0
SATB1,RGS1,524.0
SATB1,FAM111A,899.0
SATB1,CTSC,245.0
SATB1,TMEM33,336.0
SATB1,HUS1,284.0
SATB1,INCENP,218.0
SATB1,SLA,343.0
SATB1,CUL2,292.0
SATB1,B2M,431.0
SATB1,CD52,457.0
SATB1,CTSO,376.0
SATB1,PRDM4,251.0
SATB1,GABBR1,352.0
SATB1,TMEM71,264.0
SATB1,USP22,270.0
SATB1,TMEM206,223.0
SATB1,CHMP7,413.0
SATB1,CACFD1,289.0
SATB1,GSTM1,328.0
SATB1,EXT2,595.0
SATB1,NWD1,236.0
SATB1,9530068E07RIK,285.0
SATB1,TXNIP,217.0
SATB1,NDUFV1,290.0
SATB1,MIOS,239.0
SATB1,ANAPC4,299.0
SATB1,ARMC8,338.0
SATB1,RABGGTB,363.0
SATB1,FRMD6,253.0
SATB1,TXNDC11,318.0
SATB1,RETREG2,242.0
SATB1,TMEM38A,229.0
SATB1,EIF4ENIF1,860.0
SATB1,CUL4A,240.0
SATB1,LONP2,319.0
SATB1,GPR19,331.0
SATB1,MCM4,216.0
SATB1,YIPF6,225.0
SATB1,PPP1CB,281.0
SATB1,TCP1,197.0
SATB1,TMEM154,226.0
SATB1,SOAT1,228.0
SATB1,IFI27,505.0
SATB1,GEMIN5,569.0
SATB1,PRKAB1,381.0
SATB1,ZFP61,332.0
SATB1,ZFP74,272.0
SATB1,MAPK9,297.0
SATB1,TMEM68,183.0
SATB1,ILVBL,317.0
SATB1,TAB3,351.0
SATB1,SLC16A11,386.0
SATB1,ZZZ3,209.0
SATB1,POT1A,350.0
SATB1,HIST1H1C,193.0
SATB1,TBC1D15,502.0
SATB1,PCNA,256.0
SATB1,ASPM,230.0
SATB1,ZFP655,355.0
SATB1,TRPS1,219.0
SATB1,CARD11,252.0
SATB1,MED16,223.0
SATB1,TRIB2,207.0
SATB1,PTPN7,314.0
SATB1,2610301B20RIK,255.0
SATB1,GAA,234.0
SATB1,SAT1,247.0
SATB1,BLVRB,583.0
SATB1,ARHGAP18,411.0
SATB1,LRRC8C,217.0
SATB1,IDH3A,612.0
SATB1,SLC52A2,390.0
SATB1,WDR5,331.0
SATB1,PHAX,346.0
SATB1,TRIM12A,179.0
SATB1,ATP1B3,250.0
SATB1,ABCE1,292.0
SATB1,TTPAL,217.0
SATB1,SHISA5,313.0
SATB1,ZFP930,532.0
SATB1,XPR1,473.0
SATB1,NLRC3,209.0
SATB1,SGO1,241.0
SATB1,CD69,247.0
SATB1,CNST,228.0
SATB1,NSUN3,186.0
SATB1,ZRANB1,549.0
SATB1,TOR1AIP2,181.0
SATB1,SP100,377.0
SATB1,PA2G4,430.0
SATB1,ATP5G1,239.0
SATB1,MAT2A,238.0
SATB1,ATP13A1,254.0
SATB1,GTF2E1,288.0
SATB1,ATP8B4,245.0
SATB1,SLC35A4,192.0
SATB1,MAML3,283.0
SATB1,OTUD4,207.0
SATB1,RESF1,241.0
SATB1,MYC,1062.0
SATB1,AAR2,185.0
SATB1,COPB1,240.0
SATB1,PHB2,199.0
SATB1,WDR7,321.0
SATB1,NOP2,261.0
SATB1,VOPP1,188.0
SATB1,PFAS,184.0
SATB1,PATL1,291.0
SATB1,RETREG3,481.0
SATB1,SLA2,245.0
SATB1,SYK,775.0
SATB1,ABL2,298.0
SATB1,D10WSU102E,221.0
SATB1,EEF1E1,337.0
SATB1,RHOH,248.0
SATB1,IPO9,371.0
SATB1,ARHGAP4,236.0
SATB1,SPPL2A,297.0
SATB1,GRIA3,284.0
SATB1,PSMD9,365.0
SATB1,DUT,290.0
SATB1,WSB1,220.0
SATB1,RARS,228.0
SATB1,CRK,234.0
SATB1,PSMG2,203.0
SATB1,ME2,458.0
SATB1,DARS,318.0
SATB1,STK25,348.0
SATB1,SLC30A5,342.0
SATB1,STXBP4,235.0
SATB1,CTLA2A,503.0
SATB1,TMEM186,511.0
SATB1,SENP8,465.0
SATB1,NUP155,395.0
SATB1,MNDAL,635.0
SATB1,RFC4,361.0
SATB1,GSKIP,314.0
SATB1,DHFR,218.0
SATB1,FZR1,227.0
SATB1,KCTD12,189.0
SATB1,RANBP6,227.0
SATB1,CD53,846.0
SATB1,AP5Z1,305.0
SATB1,XAB2,340.0
SATB1,H2-OB,520.0
SATB1,AKNA,255.0
SATB1,ZFP422,210.0
SATB1,ZFP944,195.0
SATB1,PITRM1,273.0
SATB1,PRKAA1,557.0
SATB1,NELFB,283.0
SATB1,DUSP2,296.0
SATB1,LCP1,217.0
SATB1,CALR,278.0
SATB1,ZFP397,204.0
SATB1,CRLF3,217.0
SATB1,FGFR1OP,273.0
SATB1,CSTF1,261.0
SATB1,AURKA,261.0
SATB1,BAP1,188.0
SATB1,ERCC4,243.0
SATB1,SERPINB9,491.0
SATB1,TFG,308.0
SATB1,ZSCAN21,141.0
SATB1,EIF3G,379.0
SATB1,SLC30A6,328.0
SATB1,ITGB1,342.0
SATB1,MDH2,211.0
SATB1,POLR1B,316.0
SATB1,TMEM209,213.0
SATB1,HIF3A,284.0
SATB1,TEC,345.0
SATB1,GCAT,206.0
SATB1,KCTD20,232.0
SATB1,ZFR,266.0
SATB1,JPT1,467.0
SATB1,CDCA7,177.0
SATB1,CDC42EP4,687.0
SATB1,MKI67,303.0
SATB1,LAP3,330.0
SATB1,NAA30,331.0
SATB1,NARF,164.0
SATB1,NCAPG2,262.0
SATB1,STAM,215.0
SATB1,H2-M3,286.0
SATB1,NRROS,230.0
SATB1,STT3A,222.0
SATB1,PRCP,195.0
SATB1,DDIAS,195.0
SATB1,RNF141,165.0
SATB1,MPEG1,791.0
SATB1,IIGP1,671.0
SATB1,VDAC2,205.0
SATB1,SGTA,340.0
SATB1,CAT,174.0
SATB1,MESD,266.0
SATB1,UBA7,472.0
SATB1,ATP5F1,206.0
SATB1,PAPSS2,271.0
SATB1,NFE2,471.0
SATB1,ZFP110,267.0
SATB1,TIPIN,498.0
SATB1,SLC31A1,167.0
SATB1,UBA6,183.0
SATB1,MCM3,182.0
SATB1,HSPA4L,178.0
SATB1,DNAJC10,407.0
SATB1,COG6,195.0
SATB1,CKAP2L,143.0
SATB1,DHX35,274.0
SATB1,PPCDC,288.0
SATB1,GNL3,206.0
SATB1,CST3,460.0
SATB1,RORA,354.0
SATB1,LTB,231.0
SATB1,USP4,213.0
SATB1,NET1,245.0
SATB1,CDC6,371.0
SATB1,VPS33A,250.0
SATB1,MAPK1,193.0
SATB1,SEPSECS,231.0
SATB1,ALG9,318.0
SATB1,PLEC,214.0
SATB1,LPP,189.0
SATB1,ALDH9A1,305.0
SATB1,SNUPN,176.0
SATB1,PUSL1,267.0
SATB1,CBFB,156.0
SATB1,ZFP260,193.0
SATB1,SEH1L,215.0
SATB1,ISG20,209.0
SATB1,LRRC14,316.0
SATB1,TOPORS,336.0
SATB1,MS4A6B,510.0
SATB1,CPQ,388.0
SATB1,ABCF3,325.0
SATB1,NUP107,327.0
SATB1,PAFAH1B2,241.0
SATB1,RMND5A,229.0
SATB1,CTC1,142.0
SATB1,SP4,219.0
SATB1,PSEN2,229.0
SATB1,ANAPC2,294.0
SATB1,NDEL1,204.0
SATB1,USP20,189.0
SATB1,NUP93,224.0
SATB1,PRPF39,158.0
SATB1,IFI203,575.0
SATB1,GSS,316.0
SATB1,STAMBPL1,257.0
SATB1,ABCC5,365.0
SATB1,BCL2,450.0
SATB1,PTP4A3,325.0
SATB1,RDH11,346.0
SATB1,NUP85,214.0
SATB1,NARS,207.0
SATB1,HASPIN,167.0
SATB1,SERPINB6A,289.0
SATB1,ZFP943,176.0
SATB1,RGCC,190.0
SATB1,ASF1B,174.0
SATB1,TWSG1,194.0
SATB1,RTEL1,219.0
SATB1,GMPS,275.0
SATB1,SLC39A9,183.0
SATB1,ERP29,364.0
SATB1,NFKBIE,601.0
SATB1,EPSTI1,243.0
SATB1,RASSF2,159.0
SATB1,MOGS,307.0
SATB1,MINPP1,165.0
SATB1,ATRN,174.0
SATB1,ZFP952,449.0
SATB1,ATAD1,215.0
SATB1,NT5DC1,206.0
SATB1,CDCA5,203.0
SATB1,CD33,756.0
SATB1,STK38,288.0
SATB1,PHTF2,209.0
SATB1,PRKCH,220.0
SATB1,FLVCR1,127.0
SATB1,UROS,206.0
SATB1,ELP3,231.0
SATB1,PHF8,184.0
SATB1,NDST2,200.0
SATB1,TUBGCP5,340.0
SATB1,UBASH3A,225.0
SATB1,THUMPD3,164.0
SATB1,GYG,212.0
SATB1,2310057M21RIK,210.0
SATB1,CSGALNACT2,187.0
SATB1,COPS8,259.0
SATB1,PBLD2,437.0
SATB1,CCL9,513.0
SATB1,GBP7,160.0
SATB1,RORC,219.0
SATB1,MORF4L2,184.0
SATB1,XRCC2,294.0
SATB1,FOS,150.0
SATB1,FTSJ1,281.0
SATB1,RTP4,375.0
SATB1,GIMAP1,185.0
SATB1,SFT2D2,301.0
SATB1,DNAJC5,192.0
SATB1,IRAK2,169.0
SATB1,CLN5,290.0
SATB1,CENPE,174.0
SATB1,PUS7,325.0
SATB1,RNF19A,343.0
SATB1,UNK,189.0
SATB1,ZKSCAN3,227.0
SATB1,UBE2L6,214.0
SATB1,ARHGAP12,165.0
SATB1,ACCS,272.0
SATB1,SERP1,273.0
SATB1,IL27RA,256.0
SATB1,MAPKAPK3,200.0
SATB1,CHST10,278.0
SATB1,ABHD13,267.0
SATB1,2210016L21RIK,307.0
SATB1,CNIH1,176.0
SATB1,PPP1R16B,239.0
SATB1,CTR9,188.0
SATB1,ZFP871,208.0
SATB1,GORASP1,256.0
